COM_CODE;COM_NOM;AUC_NOM;geolocalisation
38183;Granieu;Lyon;45.599993367, 5.589887447
38199;Jardin;Vienne;45.493287474, 4.910354815
38208;Lavars;Grenoble;44.852945726, 5.678984385
38246;Montagnieu;Lyon;45.526437765, 5.45217438
38274;Nantoin;SO;45.439327163, 5.267133399
38307;Pisieu;Pisieu;45.386796608, 5.073771593
38320;Porcieu-Amblagnieu;Lyon;45.837399417, 5.392791318
38321;Prébois;Prébois;44.777107953, 5.710673651
38350;Sainte-Agnès;Grenoble;45.210549917, 5.959991862
38367;Saint-Bernard;SO;45.354446568, 5.899059324
38402;Saint-Jean-de-Vaulx;Grenoble;45.01670405, 5.751944213
38430;Saint-Mury-Monteymond;Grenoble;45.206245864, 5.933281132
38453;Saint-Romans;Saint-Romans;45.105144562, 5.318885628
38459;Saint-Sorlin-de-Vienne;Vienne;45.473552805, 4.93856526
38468;Salaise-sur-Sanne;Vienne;45.344087983, 4.808935935
38469;La Salette-Fallavaux;La Salette-Fallavaux;44.843060998, 5.985066598
38492;Sinard;Grenoble;44.942881868, 5.655754444
38503;La Terrasse;Grenoble;45.32560008, 5.931340214
